nome,user_id,ativo,filial_codigo
,user_2woX1jAlJ9ZJGTFAwUsoiC7IOga,S,SCS
,user_2wmsLLsk4PiEUoe4asNFOto2QLh,S,CAC
,user_2wrSOFa1NmxYvcGQVgUvKtBTX0o,S,SCS
,user_2wovNai282hMyhhdyOKb5KMz8KQ,S,SCS
,user_2x8ARXHIqQzIMZzHKVA9v05Rz8z,N,
,user_2woyhQINOtktV3EJ3Ueb8sdtuXw,S,SCS
,user_2x9YGXJU087ObunBLQ8YSNfOziD,S,SCS
,user_2xMTprtTllr3aNfvo4dKriK18in,S,SCS-CL
,user_2xpZIOG0zHLPbt8G9IYP9LEcytK,S,SCS
,user_2xxqYNnMfpKtdS6GTErQZYQqhGq,N,
,user_2wrDRHN4HIwRQN0UVl33aFj5RLX,N,
,user_2yHOgmfOFBuLrYKZZaYQvACZAeg,S,SCS-CL
,user_2wooYv4ios7xWMnNCYovyiIN3Ab,S,CAC
,user_2xaqQroKM8qfuk0IcjYBzH0jucF,S,SCS
,user_2wrr8LkjjbsKE22ffEMxQmCjUTV,S,SCS
,user_2y98l3o5cESt5jWQvSSoFtTac3F,S,SCS
,user_2yZCvbXB9Mr47N2J3wXRE2HW17e,N,
,user_2xgkvE6CmF4NJZYQ1COjEEYtBkj,N,
,user_2yuXfLm139sjvY1y8noGPWWh5Mn,S,SCS
,user_30W3TJkVDgcM57479n1lZPIhY9a,S,CAC
,user_2xpqKKoAsKbwDXbKDYJDntB3B0B,S,SCS
,user_2wox6xC1rcVsBsdKihJwwJUpR1p,S,SCS
,user_2yzzBbJUEiuXgO7ofNk22RjByfj,N,
,user_2ymGqu31b0R4tyJrN5x263Un3hw,N,
,user_30bDNFOY6W8nBzo579pkbPFvWpU,S,VA
,user_2yGs7h4IlLKlTIzxYSEEYFmPoeP,S,SCS
,user_2y5DHcHXQQn7EJCcyUFnZM0Hmxp,S,SCS-CL
,user_30bFdePZGtUIXven3r51cInC2YK,S,CAC
,user_2uCDJNLt96Z3XlaN3vW5mnm0Y3T,S,SCS
,user_31ABOJKCSoY6OQo3Dd0faLnh7K9,S,CAC
